timeindex,FR-coal-st,FR-electricity-shortage,FR-gas-gt,FR-oil-ocgt,FR-others-non-res,FR-uranium-st,FR-hydro-ror,FR-solar-pv,FR-wind-onshore,FR-biomass-ce,FR-hydro-phs,FR-hydro-reservoir,import,FR-electricity-load,FR-electricity-excess
2030-01-03 03:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6170.743195273455,0.0,22965.102381,4800.0,-1042.15390629,0.0,-13789.473684199998,53811.01798577484,0.0
2030-01-03 04:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6181.416566182764,0.0,25460.387766,4800.0,0.0,0.0,-13629.476713659998,57519.12761851695,0.0
2030-01-03 05:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6192.047030791762,0.0,27932.081524999998,4800.0,0.0,0.0,-9003.874956569998,64627.0535992198,0.0
2030-01-03 06:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6202.63926907851,0.0,30375.160346,4800.0,781.615429716,0.0,-6819.690018359999,70046.52502642952,0.0
2030-01-03 07:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6213.197961021056,145.6,32319.137239000003,4800.0,0.0,0.0,-7942.544156927,70242.19104308644,0.0
2030-01-03 08:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6223.727786597452,1346.8000000000002,33939.20021,4800.0,0.0,0.0,-10938.50551382,70078.02248276942,0.0
2030-01-03 09:00:00,0.0,0.0,0.0,0.0,4590.0,26845.4677245,6234.233425785755,2711.7999999999997,35041.548087999996,4800.0,0.0,0.0,-10732.02480548,69491.02443279866,0.0
2030-01-03 10:00:00,0.0,0.0,0.0,0.0,4590.0,23423.3789669,6244.719558564019,3658.2000000000003,36063.388420999996,4800.0,-7000.0,0.0,-1605.26315789,70174.42378853698,0.0
2030-01-03 11:00:00,0.0,0.0,0.0,0.0,4590.0,21557.839243,6255.190864910291,3931.200000000001,37085.183903000005,4800.0,-7000.0,0.0,-1605.26315789,69614.15085303642,0.0
2030-01-03 12:00:00,0.0,0.0,0.0,0.0,4590.0,12878.6505332,6265.652024802629,3676.4,37584.644639,4800.0,0.0,0.0,-1605.26315789,68190.08403912361,0.0
2030-01-03 13:00:00,0.0,0.0,0.0,0.0,4590.0,19083.4883827,6276.107718219086,2930.2000000000003,37711.528118,4800.0,-7000.0,0.0,-1605.26315789,66786.06106106348,0.0
2030-01-03 14:00:00,0.0,0.0,0.0,0.0,4590.0,12163.7602775,6286.5626251377125,1874.6,37369.853200000005,4800.0,0.0,0.0,-1087.1059184120004,65997.67018419217,0.0
2030-01-03 15:00:00,0.0,0.0,0.0,0.0,4590.0,19088.098134,6297.021425536563,618.8000000000001,36690.674506999996,4800.0,0.0,0.0,-5520.924136613,66563.66992993634,0.0
2030-01-03 16:00:00,0.0,0.0,0.0,0.0,4590.0,27800.0524589,6307.488799393689,0.0,35858.464202,4800.0,0.0,0.0,-7887.3225567399995,71468.68290359445,0.0
2030-01-03 17:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6317.969426687146,0.0,34802.447407,4800.0,-3997.41122498,0.0,-3075.6093080600003,73554.19630064504,0.0
