timeindex,AT-electricity,BE-electricity,CH-electricity,CZ-electricity,DE-electricity,DK-electricity,FR-electricity,IT-electricity,NL-electricity,NO-electricity,PL-electricity,SE-electricity
2030-05-26 03:00:00,-780.59070351,2613.839798857,584.2105263200001,-341.760478294,-647.1642499860009,2741.94263946,-13789.473684199998,11550.0,2772.9357944060002,2958.157894737,-1238.19413329,-8473.684210528
2030-05-26 04:00:00,-1050.7823388194,2842.7737922098,-3346.9313497599996,-57.3482306007,1150.6601531475999,2440.0,-13789.473684199998,11550.0,3022.94484721,3695.0,263.762981907,-8473.684210528
2030-05-26 05:00:00,-738.263876936,3612.3895526759998,-335.50926010999956,110.842690816,-5292.866532487,3352.02604472,-13789.473684199998,11201.350683089,3438.72647738,2958.157894737,1898.2082267,-8473.684210528
2030-05-26 06:00:00,1110.9448892700002,3800.0,1854.7730648699999,-196.82403165099998,-10674.734355607,3655.48671577,-13789.473684199998,10342.96558838,3457.36129444,3695.0,2954.364831496,-8473.684210528
2030-05-26 07:00:00,3863.427502495,3476.64884949,1448.75117048,-611.6077973289999,-14837.8917411699,3634.548344528,-13789.473684199998,10362.522149953998,2898.781500857,6279.6905544500005,3200.0,-8473.684210528
2030-05-26 08:00:00,3698.53207689,2605.084061035,1042.5877158300002,-631.578947368,-8863.69268712,3743.70416577,-13789.473684199998,6053.39237165,1823.6385819329998,7495.0,3200.0,-8473.684210528
2030-05-26 09:00:00,3538.38026925,1731.34317907,967.618432498,-378.11563806899994,-5173.622410643,3465.78388043,-13789.473684199998,4815.762489126,710.4720215379999,7495.0,3200.0,-8473.684210528
2030-05-26 10:00:00,3000.9888369026003,2291.554324843,709.986029237,2049.684447193,-6520.156840392501,3256.5688612599997,-13789.473684199998,5060.513272225,-227.99151318310004,7495.0,3200.0,-8473.684210528
2030-05-26 11:00:00,2685.55279324,1793.279196096,1300.0,1968.421052632,-5064.120524286999,3107.7587075,-13789.473684199998,4500.0,-630.584380369,7495.0,3200.0,-8473.684210528
2030-05-26 12:00:00,2577.86852043,1635.5936359359998,1300.0,2078.104702828,-4691.905660050999,3015.9139024300002,-13789.473684199998,4500.0,-642.967354154,7495.0,3095.800532313,-8473.684210528
2030-05-26 13:00:00,2574.78678752,1770.32060007,823.2177345399998,2231.280865068,-6874.20789976,3056.733642464,-13789.473684199998,6366.11246115,-194.21851788200001,7495.0,2950.283178186,-8473.684210528
2030-05-26 14:00:00,2832.66844079,1052.793053102,1164.12143865,0.0,-4599.612941394002,3193.33858419,-13789.473684199998,5884.34397367,709.4002455169999,7495.0,2600.0,-8473.684210528
2030-05-26 15:00:00,3193.6320808300006,1956.715372408,1562.9812512999997,0.0,-11909.772077150003,3275.1309101300003,-13789.473684199998,10542.382407853,1910.293183029,7495.0,1750.89812016,-8473.684210528
2030-05-26 16:00:00,759.33575073,2839.8066678289,584.2105263200001,-260.986818632,-7541.9143592254,3460.49143475,-13789.473684199998,11550.0,3293.95164147,3695.0,1718.157466277,-8473.684210528
2030-05-26 17:00:00,-1105.26315789,2800.0,-5015.78947368,243.46624112,500.96112487900064,3328.185232124,-13789.473684199998,11550.0,4265.60951164,2023.2260714479999,1839.26117861,-8473.684210528
2030-05-26 18:00:00,-1105.26315789,3699.919582852,-5015.78947368,517.211882007,-828.0322695199993,3073.796883253,-13789.473684199998,11550.0,4264.46845174,2291.003280787,1929.28073944,-8473.684210528
2030-05-26 19:00:00,-1105.26315789,3397.058014547,-5015.78947368,291.45848234,-56.38340915800018,2770.136113516,-13789.473684199998,11550.0,3389.29774182,2610.6461962989997,2600.0,-8473.684210528
2030-05-26 20:00:00,-1105.26315789,3295.671742775,-5015.78947368,-131.762219654,1101.0462991040004,2440.0,-13789.473684199998,11550.0,3407.23737869,2958.157894737,2000.521003061,-8473.684210528
2030-05-26 21:00:00,-637.463749328,2869.3810898095,-591.25636803,-492.420430066,-1714.0607365901997,2202.25287987,-13789.473684199998,11550.0,3051.868503453,3695.0,414.609157858,-8473.684210528
2030-05-26 22:00:00,1187.7873918599998,2407.835232045,584.2105263200001,-609.8303994119999,-3123.871471943,1872.215125924,-13789.473684199998,11550.0,2771.451965949,4349.2121053890005,-879.7736103960001,-8473.684210528
2030-05-26 23:00:00,2211.7625123360003,2314.492907464,1238.283044107,-632.9586432819999,-4420.0090946400005,1712.383447918,-13789.473684199998,11550.0,2572.305512047,5095.0,-1727.747098073,-8473.684210528
2030-05-27 00:00:00,1275.36278923,2311.030844695,2284.21052632,-633.547926827,-4396.09376618,1778.707233256,-13789.473684199998,11550.0,2523.188272476,5095.0,-1946.403844335,-8473.684210528
2030-05-27 01:00:00,1066.290229025,2267.686375346,2441.2289531080005,-772.694270576,-3509.3733628500013,1910.607202994,-13789.473684199998,10295.89095454,2527.137522681,5597.923157155999,-1799.9340088099998,-8473.684210528
2030-05-27 02:00:00,1169.31903534,2414.636932707,2249.97309934,-1041.8773974460998,-2842.25720799,2048.87301446,-13789.473684199998,9967.52555563,2571.847940468,5110.629764073,-1516.5833489467,-8473.684210528
2030-05-27 03:00:00,2406.3126417,2650.572779974,2297.19396024,-884.8319207789999,-2990.9562292200008,2213.624145476,-13789.473684199998,9922.66573777,2511.095538993,3695.0,-1681.894377018,-8473.684210528
2030-05-27 04:00:00,2957.7222694029997,2849.2013880377,2098.0287869100002,-665.555356732,-4260.8354842999,2468.0855424677,-13789.473684199998,9267.357677318,2585.79000997,4729.94447401,-1912.711812856,-8473.684210528
2030-05-27 05:00:00,3168.9125487409997,3275.243460328,1783.3844345399998,-623.430575169,-5350.050107449999,2864.806200549,-13789.473684199998,7054.16472874,2558.11555302,5095.0,600.0,-8473.684210528
2030-05-27 06:00:00,3238.878570615,3628.443280558,1470.513997111,-119.301123627,-5921.041283604001,3151.85380299,-13789.473684199998,4500.0,2386.569846117,7495.0,600.0,-8473.684210528
2030-05-27 07:00:00,3258.69691443,3432.533691565,1309.06023035345,0.0,-5180.289219721579,3219.3185982900004,-13789.473684199998,4500.0,1839.599534607,7495.0,600.0,-8473.684210528
2030-05-27 08:00:00,3341.681145073,2935.238687401,1058.933759355,0.0,-5031.141376934,3473.45925299,-13789.473684199998,3394.73684211,1146.152361757,7495.0,2600.0,-8473.684210528
2030-05-27 09:00:00,3275.006159896,2480.31195394,939.904304594,1516.18945355,-5202.786700460001,3344.4046693400005,-13789.473684199998,3394.73684211,540.775847576,7495.0,2600.0,-8473.684210528
2030-05-27 10:00:00,2687.39568821,2800.0,1300.0,1968.421052632,-6870.135693429,3213.30387498,-13789.473684199998,4500.0,63.86355610600003,7495.0,3200.0,-8473.684210528
