timeindex;AT-electricity-reservoir-profile;BE-electricity-reservoir-profile;CH-electricity-reservoir-profile;CZ-electricity-reservoir-profile;DE-electricity-reservoir-profile;FR-electricity-reservoir-profile;NO-electricity-reservoir-profile;PL-electricity-reservoir-profile;SE-electricity-reservoir-profile
2030-04-02T09:00:00Z;3971.9772458847333;33.68653266137434;13871.450878446374;233.2529464606282;271.73644650193864;4837.549109295253;18913.060946999576;93.5582474895806;5797.447264565112
2030-04-02T10:00:00Z;3965.977862724469;33.63175635740004;13881.032606453819;232.88509954154586;271.1440924095414;4827.973542007111;18860.7243444841;93.44179320490369;5785.933304313633
2030-04-02T11:00:00Z;3960.058299116867;33.57694361021188;13890.93968441877;232.51888742677463;270.5531768342521;4818.505751959811;18808.405628041968;93.32581653340036;5774.408350591269
2030-04-02T12:00:00Z;3954.2317056284446;33.522115261863334;13901.210161013558;232.15424444650353;269.96379632270845;4809.152661497962;18756.109389808662;93.21031494268541;5762.8739646389195
2030-04-02T13:00:00Z;3948.5112328257133;33.46729215440786;13911.882084910494;231.7911049309214;269.37604742154764;4799.921192966169;18703.84022191965;93.09528590037372;5751.331707697485
2030-04-02T14:00:00Z;3942.910031275188;33.412495129898915;13922.993504781896;231.42940321021712;268.79002667740707;4790.818268709036;18651.602716510428;92.98072687408009;5739.78314100786
2030-04-02T15:00:00Z;3937.441251543383;33.35774503038995;13934.582469300078;231.06907361457962;268.205830636924;4781.8508110711655;18599.40146571646;92.86663533141935;5728.229825810945
2030-04-02T16:00:00Z;3932.1180441968113;33.30306269793445;13946.687027137354;230.71005047419777;267.6235558467358;4773.025742397167;18547.241061673223;92.75300874000634;5716.673323347638
2030-04-02T17:00:00Z;3926.9535598019884;33.24846897458587;13959.345226966047;230.35226811926043;267.04329885347977;4764.349985031645;18495.126096516207;92.63984456745592;5705.115194858839
2030-04-02T18:00:00Z;3921.960948925427;33.19398470239766;13972.595117458468;229.99566087995663;266.46515620379336;4755.830461319203;18443.061162380884;92.52714028138294;5693.557001585445
2030-04-02T19:00:00Z;3917.153362133641;33.13963072342328;13986.474747286933;229.64016308647507;265.88922444431364;4747.474093604445;18391.05085140272;92.41489334940218;5682.000304768355
