timeindex;AT-electricity-ror-profile;BE-electricity-ror-profile;CH-electricity-ror-profile;CZ-electricity-ror-profile;DE-electricity-ror-profile;FR-electricity-ror-profile;NO-electricity-ror-profile;PL-electricity-ror-profile;SE-electricity-ror-profile
2030-11-04T02:00:00Z;0.41746534629547466;0.30148534088662693;0.3142349669854671;0.05649755504556666;0.2567391673209597;0.21534918311327408;0.41711587828654995;0.1049138646386031;0.47569821171973664
2030-11-04T03:00:00Z;0.41823670179435707;0.301712975999069;0.3146269245693363;0.05657543913468729;0.2568967043303116;0.21584998932646418;0.4171680554299523;0.10501821072299583;0.4759498445655892
2030-11-04T04:00:00Z;0.41904698370600874;0.30194004908321853;0.3150522025317048;0.05665385346161248;0.2570634368390487;0.21637718571038062;0.41721092305174884;0.10512244592143137;0.47619252507370735
2030-11-04T05:00:00Z;0.41989869937509366;0.30216664366913654;0.3155107463438014;0.05673283844511904;0.25723944740508714;0.2169303670036939;0.4172445455004807;0.10522711694488708;0.476426316614699
2030-11-04T06:00:00Z;0.4207943561462757;0.3023928432868842;0.31600250147685466;0.056812434503983836;0.2574248185863433;0.21750912794507457;0.4172689871246885;0.10533277050434037;0.47665128255917183
2030-11-04T07:00:00Z;0.42173646136421855;0.3026187314665223;0.3165274134020931;0.05689268205698369;0.25761963294073315;0.21811306327319294;0.4172843122729129;0.10543995331076862;0.47686748627773345
2030-11-04T08:00:00Z;0.4227275223735863;0.30284439173811184;0.3170854275907453;0.05697362152289544;0.2578239730261728;0.21874176772671933;0.4172905852936942;0.1055492120751491;0.47707499114099156
2030-11-04T09:00:00Z;0.42377004651904265;0.303069907631714;0.3176764895140401;0.05705529332049595;0.25803792140057874;0.21939483604432441;0.41728787053557376;0.10566109350845937;0.4772738605195542
2030-11-04T10:00:00Z;0.42486654114525163;0.3032953626773896;0.31830054464320584;0.05713773786856203;0.2582615606218668;0.22007186296467857;0.4172762323470916;0.10577614432167667;0.4774641577840287
2030-11-04T11:00:00Z;0.4260195135968769;0.30352084040519967;0.3189575384494712;0.057220995585870515;0.25849497324795323;0.22077244322645215;0.4172557350767887;0.10589491122577842;0.47764594630502283
2030-11-04T12:00:00Z;0.42723147121858246;0.3037464243452052;0.31964741640406497;0.05730510689119828;0.2587382418367544;0.22149617156831558;0.41722644307320567;0.10601794093174198;0.4778192894531447
2030-11-04T13:00:00Z;0.42850492135503204;0.3039721980274672;0.3203701239782156;0.05739011220332215;0.2589914489461863;0.2222426427289393;0.4171884206848833;0.10614578015054475;0.47798425059900174
2030-11-04T14:00:00Z;0.4298423713508897;0.30419824498204673;0.3211256066431518;0.057476051941018964;0.2592546771341653;0.22301145144699389;0.41714173226036216;0.1062789755931641;0.47814089311320174
2030-11-04T15:00:00Z;0.43124632855081924;0.30442464873900477;0.321913809870102;0.05756296652306555;0.2595280089586073;0.22380219246114957;0.4170864421481828;0.1064180739705774;0.47828928036635243
2030-11-04T16:00:00Z;0.43271930029948436;0.3046514928284021;0.32273467913029497;0.05765089636823873;0.25981152697742865;0.22461446051007689;0.41702261469688606;0.10656362199376203;0.47842947572906136
2030-11-04T17:00:00Z;0.4342637939415493;0.3048788607803001;0.32358815989495926;0.05773988189531539;0.26010531374854556;0.22544785033244635;0.4169503142550125;0.10671616637369537;0.47856154257193656
2030-11-04T18:00:00Z;0.4358823168216776;0.3051068361247595;0.3244741976353236;0.05782996352307237;0.26040945182987413;0.22630195666692832;0.416869605171103;0.10687625382135481;0.47868554426558557
2030-11-04T19:00:00Z;0.43757737628453297;0.3053355023918412;0.3253927378226164;0.05792118167028644;0.26072402377933035;0.22717637425219314;0.41678055179369794;0.10704443104771769;0.4788015441806161
2030-11-04T20:00:00Z;0.4393514796747798;0.3055649431116065;0.32634372592806643;0.058013576755734514;0.2610491121548308;0.22807069782691125;0.4166832184713381;0.10722124476376141;0.478909605687636
2030-11-04T21:00:00Z;0.4412071343370814;0.30579524181411616;0.32732710742290233;0.0581071891981934;0.26138479951429133;0.22898452212975334;0.41657766955256437;0.10740724168046335;0.479009792157253
2030-11-04T22:00:00Z;0.4431468476161022;0.30602648202943133;0.3283428277783526;0.058202059416439945;0.26173116841562843;0.22991744189938954;0.416463969385917;0.10760296850880091;0.4791021669600746
2030-11-04T23:00:00Z;0.44517312685650573;0.306258747287613;0.3293908324656459;0.05829822782925098;0.2620883014167579;0.2308690518744905;0.4163421823199372;0.10780897195975143;0.47918679346670895
2030-11-05T00:00:00Z;0.44728847940295574;0.3064921211187219;0.3304710669560107;0.05839573485540335;0.262456281075596;0.2318389467937265;0.41621237270316497;0.10802579874429226;0.47926373504776315
2030-11-05T01:00:00Z;0.4494937452757925;0.3067266557527066;0.33158319621064164;0.05849460283015399;0.2628351001060053;0.23282659952517437;0.416074618441422;0.1082538267051739;0.47933306524571
2030-11-05T02:00:00Z;0.45178309519806104;0.3069622782190636;0.33272576315059527;0.05859478175468018;0.26322439184563173;0.23383099545453634;0.41592905166964983;0.10849275821223875;0.4793948982904794
2030-11-05T03:00:00Z;0.4541490325684825;0.3071988842471772;0.3338970301868946;0.05869620354663932;0.26362369978806793;0.23485099809692073;0.4157758180800714;0.10874212676710247;0.47944935858386556
2030-11-05T04:00:00Z;0.4565840607857782;0.3074363695664313;0.3350952597305621;0.05879880012368881;0.2640325674269062;0.23588547096743606;0.4156150633649093;0.10900146587138057;0.4794965705276633
2030-11-05T05:00:00Z;0.4590806832486692;0.3076746299062101;0.33631871419262055;0.058902503403486024;0.26445053825573894;0.23693327758119087;0.41544693321638565;0.10927030902668866;0.4795366585236671
2030-11-05T06:00:00Z;0.4616314033558768;0.3079135609958976;0.33756565598409255;0.059007245303688345;0.2648771557681588;0.2379932814532938;0.4152715733267233;0.10954818973464221;0.4795697469736718
2030-11-05T07:00:00Z;0.46422872450612235;0.3081530585648777;0.33883434751600067;0.059112957741953166;0.2653119634577577;0.23906434609885296;0.4150891293881446;0.1098346414968568;0.4795959602794713
2030-11-05T08:00:00Z;0.46686515009812674;0.3083930183425345;0.34012305119936764;0.0592195726359379;0.26575450481812846;0.2401453350329771;0.41489974709287214;0.110129197814948;0.4796154228428606
2030-11-05T09:00:00Z;0.46953318353061135;0.30863333605825227;0.34143002944521633;0.05932702190329989;0.2662043233428634;0.2412351117707747;0.4147035721331284;0.11043139219053137;0.47962825906563405
2030-11-05T10:00:00Z;0.4722253282022977;0.30887390744141485;0.3427535446645689;0.059435237461696565;0.2666609625255548;0.24233253982735406;0.4145007502011359;0.11074075812522244;0.4796345933495863
