timeindex;AT-electricity-reservoir-profile;BE-electricity-reservoir-profile;CH-electricity-reservoir-profile;CZ-electricity-reservoir-profile;DE-electricity-reservoir-profile;DK-electricity-reservoir-profile;FR-electricity-reservoir-profile;IT-electricity-reservoir-profile;NL-electricity-reservoir-profile;NO-electricity-reservoir-profile;PL-electricity-reservoir-profile;SE-electricity-reservoir-profile
2030-12-11T01:00:00Z;1082.826669274855;36.47680143007088;3064.777328362912;135.44356554355906;197.22845097553417;0.0;4790.859202106842;4680.7777459830495;0.0;8201.466283570944;44.81449919851082;3427.756611725709
2030-12-11T02:00:00Z;1081.7302808470422;36.51207661609202;3062.868195248294;135.47686898157167;197.1353770876479;0.0;4790.2071406131;4675.741466775709;0.0;8189.401603687239;44.800814301616455;3424.7308914451232
2030-12-11T03:00:00Z;1080.6359511590915;36.547484277804166;3060.9604208804963;135.5089668393996;197.06978036849935;0.0;4789.553453657108;4670.7134148894465;0.0;8177.357545765804;44.78913589613569;3421.697412714066
2030-12-11T04:00:00Z;1079.5436298889742;36.58300566919459;3059.0533779361363;135.5399620122674;197.0300310321008;0.0;4788.888852335868;4665.692644205585;0.0;8165.335362207362;44.77931737132811;3418.6632559376685
2030-12-11T05:00:00Z;1078.4532667146602;36.61862204425057;3057.1464390918263;135.5699573953999;197.01449929246468;0.0;4788.204047746389;4660.678208605451;0.0;8153.3363054126385;44.77121211645337;3415.6355015210665
2030-12-11T06:00:00Z;1077.364811314121;36.65431465695942;3055.2389770241857;135.5990558840216;197.0215553636035;0.0;4787.489750985669;4655.66916197037;0.0;8141.361627782367;44.76467352077106;3412.621229869394
2030-12-11T07:00:00Z;1076.2782133653275;36.6900647613084;3053.330364409826;135.6273603733572;197.04956945952966;0.0;4786.7366731507145;4650.6645581816665;0.0;8129.412581717262;44.759554973540794;3409.6275213877816
2030-12-11T08:00:00Z;1075.1934225462498;36.725853611284805;3051.419973925363;135.65497375863126;197.0969117942556;0.0;4785.935525338527;4645.663451120665;0.0;8117.490419618054;44.75570986402218;3406.661456481366
2030-12-11T09:00:00Z;1074.110388534859;36.76166246087592;3049.5071782474142;135.68199893506858;197.1619525817937;0.0;4785.077018646112;4640.6648946686955;0.0;8105.59639388547;44.752991581474845;3403.73011555528
2030-12-11T10:00:00Z;1073.0290610091267;36.79747256406904;3047.5913500525944;135.70853879789374;197.24306203615654;0.0;4784.151864170477;4635.667942707079;0.0;8093.731756920237;44.75125351515838;3400.840579014656
2030-12-11T11:00:00Z;1071.9493896470221;36.83326517485145;3045.6718620175175;135.73469624233132;197.33861037135637;0.0;4783.150773008618;4630.671649117143;0.0;8081.897761123076;44.75034905433241;3397.999927264632
2030-12-11T12:00:00Z;1070.8713241265177;36.86902154721042;3043.7480868187995;135.7605741636061;197.44696780140575;0.0;4782.064456257544;4625.675067780212;0.0;8070.0956588947165;44.750131588256544;3395.2152407103367
